No,food,makanan,kalori,lemak,karbohidrat,gula,protein,serat,kolesterol,natrium,air,vitamin_A,vitamin_B1,vitamin_B11,vitamin_B12,vitamin_B2,vitamin_B3,vitamin_B5,vitamin_B6,vitamin_C,vitamin_D,vitamin_E,vitamin_K,kalsium,zat_besi,magnesium,fosfor,kalium,zinc,kepadatan_nutrisi
1,cream cheese,krim keju,51,5,0.8,0.5,0.9,0,14.6,16,7.6,0.2,33,64,92,97,84,52,96,4,0,0,0.1,8,82,27,91,15.5,39,07.07
2,neufchatel cheese,keju neufchatel,215,19.4,3.1,2.7,7.8,0,62.9,0.3,53.6,0.2,99,79,0.09,0.1,0.2,0.5,78,0,0,0.3,45,99.5,0.1,8.5,117.3,129.2,0.7,130.1
3,requeijao cremoso light catupiry,requeijao cremoso catupiry ringan,49,3.6,0.9,3.4,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
4,ricotta cheese,keju ricotta,30,2,1.5,91,1.5,0,9.8,17,14.7,75,19,79,91,27,41,16,7,6,0,1,11,97,97,96,24,30.8,35,5.196
5,cream cheese low fat,keju krim rendah lemak,30,2.3,1.2,0.9,1.2,0,8.1,46,10,16,0.08,62,49,26,0.08,0.1,3,0,36,9,19,22.2,8,1.2,22.8,37.1,53,27.007
6,cream cheese fat free,keju krim bebas lemak,19,0.2,1.4,1,2.8,0,2.2,0.1,12.9,63,0.02,89,92,21,25,0.2,38,0,0,49,59,63.2,53,4,94.1,50,0.3,67.679
7,gruyere cheese,keju gruyere,116,9.1,0.1,0.1,8.3,0,30.8,0.2,9.3,61,21,72,78,4,43,0.2,51,0,34,35,48,283.1,94,10.1,169.4,22.7,1.1,300.694
8,cheddar cheese,keju cheddar,113,9.3,0.9,0.1,6.4,0,27.7,0.2,10.3,54,31,5,73,0.1,0.01,0.1,5,0,0.06,0.2,35,198.8,77,7.6,127.4,21.3,1,215.53
9,parmesan cheese,keju parmesan,71,4.5,0.6,46,6.4,0,12.2,0.2,5.4,67,62,99,59,57,39,0.06,66,0,95,18,21,213.1,0.1,7.9,124.9,16.6,0.5,224.777
10,romano cheese,keju romano,19,1.3,0.2,88,1.6,0,5.2,8,1.5,64,58,26,45,59,55,25,29,0,73,78,4,53.2,0.03,2.1,38,4.3,0.1,56.38
11,parmesan cheese grated,keju parmesan parut,21,1.4,0.7,75,1.4,0,4.3,43,1.1,17,3,15,91,81,77,57,77,7,0,2,14,12,94,94,26,31.4,38,3.745
12,port salut cheese,keju port salut,465,37.2,0.8,0.8,31.4,0,162.4,0.7,60,0.4,12,35,67,0.3,19,0.3,0.08,0,57,0.3,94,858,0.6,31.7,475.2,179.5,3.4,928.4
13,swiss cheese,keju swiss,98,7.7,0.4,0,6.7,0,23.3,57,9.4,69,8,27,8,18,58,0.1,36,0,16,0.2,56,222.5,24,8.3,143.5,18,1.1,237.396
14,goat cheese hard,keju kambing keras,128,10.1,0.6,0.6,8.6,0,29.7,76,8.2,0.1,71,35,93,0.3,0.7,0.1,7,0,44,83,39,253.3,0.5,15.3,206.3,13.6,0.4,273.2
15,gouda cheese,keju gouda,100,7.7,0.6,0.6,7,0,31.9,0.2,11.6,53,16,42,0.01,9,81,11,53,0,0.04,26,74,196,0.06,8.1,152.9,33.9,1.1,211.424
16,pepper jack cheese lucerne,keju pepper jack dan alfalfa,75,6,0,0,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5
17,caraway cheese,keju jintan,106,8.3,0.9,0,7.1,0,26.3,0.2,11.1,14,77,66,38,0.1,0.04,22,86,0,0,0,0,190.5,0.2,6.2,138.7,26.3,0.8,207.072
18,gjetost cheese,keju gjetost,1058,67,96.8,0,21.9,0,213.4,1.4,30.5,0.8,0.7,76,47,3.1,1.8,7.6,0.6,0,0,0,0,908,1.2,158.9,1007.9,3198.4,2.6,1095.7
19,tilsit cheese,keju tilsit,136,10.4,0.8,0,9.8,0,40.8,0.3,17.1,57,36,72,58,0.1,68,0.1,36,0,0,0,0,280,0.01,5.2,200,26,1.4,301.069
20,goat cheese,keju kambing,103,8.4,9,31,6.1,0,22.4,0.1,12.9,0.1,13,11,86,0.2,0.3,0.03,87,0,78,82,46,84.3,0.5,8.2,106.1,44.7,0.2,99.494
21,brick cheese,keju bata,111,8.9,0.8,0.2,7,0,28.2,0.2,12.3,16,42,59,74,0.1,85,86,33,0,42,72,64,202.2,0.1,7.2,135.3,40.8,0.8,219.002
22,asadero cheese,keju asadero,402,31.9,3.2,3.2,25.5,0,118.7,0.7,47.6,98,34,5,43,0.3,0.2,0.3,24,0,71,0.3,0.02,746.9,0.6,29.4,500.6,97.2,3.4,808.175
23,camembert cheese,keju camembert,90,7.3,0.1,0.1,5.9,0,21.6,0.3,15.5,91,54,43,34,0.1,0.2,0.4,17,0,93,14,24,116.4,63,6,104.1,56.1,0.7,129.826
24,provolone cheese reduced fat,keju provolone rendah lemak,310,19.9,4,0.6,27.9,0,62.2,1,57.2,0.2,0.05,63,79,0.4,0.2,0.5,61,0,27,0.2,76,854.3,0.6,31.6,560.5,155.9,3.6,906.9
25,roquefort cheese,keju roquefort,314,26,1.7,0,18.3,0,76.5,1.5,33.5,0.2,92,37,2,0.5,0.6,1.5,0.1,0,0,0,0,562.7,0.5,25.5,333.2,77.4,1.8,609.4
